Epoch: 1/30, loss: 32.73972304103117, train accuracy: 0.5, validation accuracy: 0.48
Epoch: 2/30, loss: 30.755825591112536, train accuracy: 0.5555555555555556, validation accuracy: 0.49
Epoch: 3/30, loss: 28.393317912017235, train accuracy: 0.6155555555555555, validation accuracy: 0.49
Epoch: 4/30, loss: 24.949803496204215, train accuracy: 0.6888888888888889, validation accuracy: 0.64
Epoch: 5/30, loss: 22.401533506209237, train accuracy: 0.7266666666666667, validation accuracy: 0.72
Epoch: 6/30, loss: 19.755718124173313, train accuracy: 0.7622222222222222, validation accuracy: 0.72
Epoch: 7/30, loss: 21.975811545012384, train accuracy: 0.7711111111111111, validation accuracy: 0.66
Epoch: 8/30, loss: 19.20114973649351, train accuracy: 0.7733333333333333, validation accuracy: 0.72
Epoch: 9/30, loss: 14.859516863246576, train accuracy: 0.8377777777777777, validation accuracy: 0.68
Epoch: 10/30, loss: 15.918026643478479, train accuracy: 0.7822222222222223, validation accuracy: 0.73
Epoch: 11/30, loss: 12.037045907011828, train accuracy: 0.8555555555555555, validation accuracy: 0.76
Epoch: 12/30, loss: 13.16530136176001, train accuracy: 0.8177777777777778, validation accuracy: 0.75
Epoch: 13/30, loss: 10.435220390536973, train accuracy: 0.8622222222222222, validation accuracy: 0.72
Epoch: 14/30, loss: 12.466660796854333, train accuracy: 0.8266666666666667, validation accuracy: 0.74
Epoch: 15/30, loss: 8.928629910029487, train accuracy: 0.8822222222222222, validation accuracy: 0.74
Epoch: 16/30, loss: 9.447531481277963, train accuracy: 0.8733333333333333, validation accuracy: 0.75
Epoch: 17/30, loss: 7.1927649449445346, train accuracy: 0.9088888888888889, validation accuracy: 0.72
Epoch: 18/30, loss: 7.739375320157794, train accuracy: 0.8711111111111111, validation accuracy: 0.71
Epoch: 19/30, loss: 8.019565619316554, train accuracy: 0.8822222222222222, validation accuracy: 0.71
Epoch: 20/30, loss: 8.632201905593247, train accuracy: 0.8577777777777778, validation accuracy: 0.66
Epoch: 21/30, loss: 9.244266641567, train accuracy: 0.8577777777777778, validation accuracy: 0.71
Epoch: 22/30, loss: 8.710386427052747, train accuracy: 0.8644444444444445, validation accuracy: 0.7
Epoch: 23/30, loss: 8.359218256933586, train accuracy: 0.8711111111111111, validation accuracy: 0.72
Epoch: 24/30, loss: 8.82182672261905, train accuracy: 0.8577777777777778, validation accuracy: 0.68
Epoch: 25/30, loss: 7.885579682430869, train accuracy: 0.8822222222222222, validation accuracy: 0.74
Epoch: 26/30, loss: 8.038991934342128, train accuracy: 0.8822222222222222, validation accuracy: 0.68
Epoch: 27/30, loss: 8.280581163541143, train accuracy: 0.8777777777777778, validation accuracy: 0.71
Epoch: 28/30, loss: 8.345540197990262, train accuracy: 0.8866666666666667, validation accuracy: 0.7
Epoch: 29/30, loss: 7.811801001986152, train accuracy: 0.8888888888888888, validation accuracy: 0.68
Epoch: 30/30, loss: 7.438679479830507, train accuracy: 0.8933333333333333, validation accuracy: 0.71
